ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"3MINDIA","EQ","18-Jun-2024","36,489.25","36,540.00","37,248.00","36,540.00","37,010.00","37,068.55","36,990.27","6,367","23,55,17,041.70","3,659","3,105","48.77"
"3MINDIA","EQ","19-Jun-2024","37,068.55","37,397.00","37,500.00","36,662.85","37,000.00","36,930.55","36,987.46","10,351","38,28,57,234.25","3,731","6,362","61.46"
"3MINDIA","EQ","20-Jun-2024","36,930.55","37,000.00","37,197.50","36,520.10","37,075.00","37,036.55","36,972.55","3,562","13,16,96,234.95","2,215","1,650","46.32"
"3MINDIA","EQ","21-Jun-2024","37,036.55","37,300.00","38,258.45","37,093.00","37,990.00","37,965.45","37,900.92","19,263","73,00,85,458.40","10,182","10,696","55.53"
"3MINDIA","EQ","24-Jun-2024","37,965.45","38,247.55","38,350.00","37,200.00","38,000.00","38,166.85","37,931.42","4,404","16,70,49,974.10","2,826","1,970","44.73"
"3MINDIA","EQ","25-Jun-2024","38,166.85","38,300.00","38,501.00","37,500.00","38,000.00","37,862.90","38,156.46","3,597","13,72,48,796.70","2,211","1,309","36.39"
"3MINDIA","EQ","26-Jun-2024","37,862.90","38,199.00","38,328.55","37,060.05","37,275.00","37,182.65","37,710.17","8,346","31,47,29,055.15","4,903","3,181","38.11"
"3MINDIA","EQ","27-Jun-2024","37,182.65","37,699.95","37,877.90","37,060.00","37,497.95","37,466.75","37,440.97","5,831","21,83,18,285.30","3,673","2,141","36.72"
"3MINDIA","EQ","28-Jun-2024","37,466.75","37,866.70","37,876.85","36,525.75","36,701.05","36,804.30","37,294.16","7,102","26,48,63,092.30","4,307","3,578","50.38"
"3MINDIA","EQ","01-Jul-2024","36,804.30","37,350.60","37,998.00","37,050.00","37,949.00","37,857.10","37,489.66","6,475","24,27,45,525.10","3,233","2,790","43.09"
"3MINDIA","EQ","02-Jul-2024","37,857.10","38,133.55","40,856.50","37,956.00","38,880.00","38,908.70","39,366.56","34,347","1,35,21,23,315.60","15,728","8,181","23.82"
"3MINDIA","EQ","03-Jul-2024","38,908.70","39,167.00","39,708.45","38,100.00","39,450.05","39,411.85","39,033.10","18,456","72,03,94,863.05","8,451","4,822","26.13"
"3MINDIA","EQ","04-Jul-2024","39,411.85","39,485.20","39,959.85","39,202.60","39,531.00","39,525.20","39,621.02","11,808","46,78,45,018.25","5,826","4,301","36.42"
"3MINDIA","EQ","05-Jul-2024","39,525.20","39,000.00","39,449.95","38,600.00","38,629.00","38,768.10","39,000.62","8,303","32,38,22,113.95","3,894","3,627","43.68"
"3MINDIA","EQ","08-Jul-2024","38,768.10","38,629.00","39,398.45","38,370.00","39,276.00","39,294.70","38,975.50","7,139","27,82,46,098.70","3,275","2,798","39.19"
"3MINDIA","EQ","09-Jul-2024","39,294.70","39,294.70","40,181.00","39,115.80","40,001.00","40,020.60","39,820.16","7,073","28,16,47,975.20","3,940","3,102","43.86"
"3MINDIA","EQ","10-Jul-2024","40,020.60","40,000.00","40,120.00","38,801.05","39,490.80","39,347.30","39,476.01","6,583","25,98,70,549.75","3,603","2,270","34.48"
"3MINDIA","EQ","11-Jul-2024","39,347.30","39,800.00","39,849.95","39,339.85","39,350.50","39,430.75","39,614.62","7,095","28,10,65,696.70","1,889","5,294","74.62"
"3MINDIA","EQ","12-Jul-2024","39,430.75","39,649.95","39,784.65","38,237.90","38,600.70","38,646.00","39,077.66","2,374","9,27,70,372.85","1,392","989","41.66"
"3MINDIA","EQ","15-Jul-2024","38,646.00","40,000.00","40,100.05","38,557.70","38,989.95","39,002.40","39,081.55","4,253","16,62,13,829.05","2,788","1,014","23.84"
"3MINDIA","EQ","16-Jul-2024","39,002.40","38,989.00","39,586.95","38,560.10","38,800.00","38,772.00","39,038.43","3,361","13,12,08,158.15","2,159","1,257","37.40"
"3MINDIA","EQ","18-Jul-2024","38,772.00","38,994.50","39,099.95","37,992.00","38,100.00","38,114.65","38,318.77","2,711","10,38,82,192.40","1,568","1,109","40.91"
"3MINDIA","EQ","19-Jul-2024","38,114.65","38,278.45","38,381.70","37,313.70","37,490.00","37,515.50","37,683.05","2,875","10,83,38,778.25","1,906","1,019","35.44"
